INSEE;NOM;NOM_COUV;COM/EPCI;POP;STRATE;X;Y;NOM2;CP
12103;Florentin-la-Capelle;Florentin-la-Capelle;COM;283;0;294392;5564906.747;Florentin-la-Capelle (12140);12140
12104;Foissac;Foissac;COM;487;0;223584;5544122.155;Foissac (12260);12260
12105;La Fouillade;La Fouillade;COM;1108;2;227990;5501788.739;La Fouillade (12270);12270
12106;Gabriac;Gabriac;COM;549;1;312259;5537277.763;Gabriac (12340);12340
12107;Gaillac-d'Aveyron;Gaillac-d'Aveyron;COM;318;0;323180;5521617.643;Gaillac-d'Aveyron (12310);12310
12108;Galgan;Galgan;COM;374;0;242651;5543693.819;Galgan (12220);12220
12109;Gissac;Gissac;COM;98;0;323419;5445110.528;Gissac (12360);12360
12110;Golinhac;Golinhac;COM;340;0;288001;5558081.888;Golinhac (12140);12140
12111;Goutrens;Goutrens;COM;488;0;263400;5533601.095;Goutrens (12390);12390
12113;Gramond;Gramond;COM;517;1;263559;5506318.281;Gramond (12160);12160
12115;L'Hospitalet-du-Larzac;L'Hospitalet-du-Larzac;COM;308;0;357132;5461402.119;L'Hospitalet-du-Larzac (12230);12230
12116;Huparlac;Huparlac;COM;261;0;306533;5576153.528;Huparlac (12460);12460
12118;Lacroix-Barrez;Lacroix-Barrez;COM;525;1;294179;5585955.231;Lacroix-Barrez (12600);12600
12119;Laguiole;Laguiole;COM;1230;2;319192;5573521.631;Laguiole (12210);12210
12120;Laissac-Sévérac l'Église;Laissac-Sévérac l'Église;COM;2153;2;315218;5521699.971;Laissac-Sévérac l'Église (12310);12310
12121;Lanuéjouls;Lanuéjouls;COM;726;1;240598;5531181.905;Lanuéjouls (12350);12350
12122;Lapanouse-de-Cernon;Lapanouse-de-Cernon;COM;124;0;344669;5466367.402;Lapanouse-de-Cernon (12230);12230
12124;Lassouts;Lassouts;COM;315;0;317736;5541114.237;Lassouts (12500);12500
12125;Laval-Roquecezière;Laval-Roquecezière;COM;277;0;293331;5436538.191;Laval-Roquecezière (12380);12380
12127;Lédergues;Lédergues;COM;638;1;271619;5477869.949;Lédergues (12170);12170
12128;Lescure-Jaoul;Lescure-Jaoul;COM;219;0;239001;5500439.317;Lescure-Jaoul (12440);12440
12129;Lestrade-et-Thouels;Lestrade-et-Thouels;COM;448;0;294812;5473864.391;Lestrade-et-Thouels (12430);12430
12130;Livinhac-le-Haut;Livinhac-le-Haut;COM;1123;2;246743;5558295.159;Livinhac-le-Haut (12300);12300
